datazone,local_authority
S01001059,Dumfries & Galloway
S01001049,Dumfries & Galloway
S01000966,Dumfries & Galloway
S01000926,Dumfries & Galloway
S01000970,Dumfries & Galloway
S01000947,Dumfries & Galloway
S01001016,Dumfries & Galloway
S01000938,Dumfries & Galloway
S01000980,Dumfries & Galloway
S01000916,Dumfries & Galloway
S01001081,Dumfries & Galloway
S01000904,Dumfries & Galloway
S01000933,Dumfries & Galloway
S01001018,Dumfries & Galloway
S01001083,Dumfries & Galloway
S01000897,Dumfries & Galloway
S01000921,Dumfries & Galloway
S01000910,Dumfries & Galloway
S01000983,Dumfries & Galloway
S01000962,Dumfries & Galloway
S01000935,Dumfries & Galloway
S01000932,Dumfries & Galloway
S01000918,Dumfries & Galloway
S01000901,Dumfries & Galloway
S01000942,Dumfries & Galloway
S01001054,Dumfries & Galloway
S01000925,Dumfries & Galloway
S01001089,Dumfries & Galloway
S01000978,Dumfries & Galloway
S01000994,Dumfries & Galloway
S01001085,Dumfries & Galloway
S01000954,Dumfries & Galloway
S01000928,Dumfries & Galloway
S01000990,Dumfries & Galloway
S01000907,Dumfries & Galloway
S01000986,Dumfries & Galloway
S01001078,Dumfries & Galloway
S01000951,Dumfries & Galloway
S01001068,Dumfries & Galloway
S01000923,Dumfries & Galloway
S01001072,Dumfries & Galloway
S01000919,Dumfries & Galloway
S01001000,Dumfries & Galloway
S01000960,Dumfries & Galloway
S01000917,Dumfries & Galloway
S01000922,Dumfries & Galloway
S01001060,Dumfries & Galloway
S01000936,Dumfries & Galloway
S01000908,Dumfries & Galloway
S01001056,Dumfries & Galloway
S01000903,Dumfries & Galloway
S01000898,Dumfries & Galloway
S01000979,Dumfries & Galloway
S01000973,Dumfries & Galloway
S01001001,Dumfries & Galloway
S01001067,Dumfries & Galloway
S01001055,Dumfries & Galloway
S01001021,Dumfries & Galloway
S01000915,Dumfries & Galloway
S01000946,Dumfries & Galloway
S01000984,Dumfries & Galloway
S01000939,Dumfries & Galloway
S01000957,Dumfries & Galloway
S01000905,Dumfries & Galloway
S01001024,Dumfries & Galloway
S01000976,Dumfries & Galloway
S01000992,Dumfries & Galloway
S01001073,Dumfries & Galloway
S01001011,Dumfries & Galloway
S01001058,Dumfries & Galloway
S01001069,Dumfries & Galloway
S01000945,Dumfries & Galloway
S01000948,Dumfries & Galloway
S01001040,Dumfries & Galloway
S01001039,Dumfries & Galloway
S01001076,Dumfries & Galloway
S01001066,Dumfries & Galloway
S01000900,Dumfries & Galloway
S01001026,Dumfries & Galloway
S01000950,Dumfries & Galloway
S01001046,Dumfries & Galloway
S01001023,Dumfries & Galloway
S01001070,Dumfries & Galloway
S01000968,Dumfries & Galloway
S01000920,Dumfries & Galloway
S01001008,Dumfries & Galloway
S01000952,Dumfries & Galloway
S01001044,Dumfries & Galloway
S01001071,Dumfries & Galloway
S01001084,Dumfries & Galloway
S01000944,Dumfries & Galloway
S01000913,Dumfries & Galloway
S01001053,Dumfries & Galloway
S01000912,Dumfries & Galloway
S01001075,Dumfries & Galloway
S01001077,Dumfries & Galloway
S01001027,Dumfries & Galloway
S01000987,Dumfries & Galloway
S01001057,Dumfries & Galloway
S01000993,Dumfries & Galloway
S01000996,Dumfries & Galloway
S01001013,Dumfries & Galloway
S01001062,Dumfries & Galloway
S01000991,Dumfries & Galloway
S01001063,Dumfries & Galloway
S01001079,Dumfries & Galloway
S01001080,Dumfries & Galloway
S01000909,Dumfries & Galloway
S01001050,Dumfries & Galloway
S01000982,Dumfries & Galloway
